"file","language","code","blank","comment"
".\src\components\boffmedia\sections\SectionHeader.tsx","TypeScript","136","4","3"
".\src\app\smartrotom\camara\page.tsx","TypeScript","136","17","0"
".\src\app\smartrotom\arcade\loot\_hooks\useLootBoxInventory.ts","TypeScript","136","20","14"
".\src\app\wingull\pueblos\[pueblo]\_components\shared\image\ImageShowcase.tsx","TypeScript","135","14","1"
".\src\app\smartrotom\pokedex\movimientos\_components\MoveData.tsx","TypeScript","135","14","0"
".\src\app\smartrotom\mewtwitch\_components\StreamCard.tsx","TypeScript","134","17","4"
".\src\app\smartrotom\pc\components\details\PokemonMoves.tsx","TypeScript","134","13","0"
".\src\app\battlesim\calc\_components\MovesResultsOverview.tsx","TypeScript","134","11","3"
".\src\app\smartrotom\chatapp\_components\WaypointMessage.tsx","TypeScript","134","8","0"
".\src\app\smartrotom\arcade\_components\ArcadeGameCard.tsx","TypeScript","133","20","4"
".\src\app\smartrotom\pasaporte\_components\PlayerStatsPage.tsx","TypeScript","132","16","3"
".\src\components\boffmedia\layouts\GameToolsLayout\DesktopSidebar.tsx","TypeScript","132","10","0"
".\src\app\smartrotom\arcade\_components\daily\ClaimSection.tsx","TypeScript","132","11","0"
".\src\app\battlesim\_utils\SceneEffects.ts","TypeScript","132","37","26"
".\src\app\battlesim\calc\_components\panel\PokemonDetails.tsx","TypeScript","132","12","3"
".\src\app\smartrotom\mewtwitch\game\[id]\page.tsx","TypeScript","131","16","2"
".\src\app\smartrotom\furrettoday\_components\CardComponent.tsx","TypeScript","131","12","1"
".\src\app\smartrotom\chatapp\_components\EmojiStickerMenu.tsx","TypeScript","131","7","2"
".\src\app\smartrotom\notas\_components\DocumentsList.tsx","TypeScript","130","9","0"
".\src\app\smartrotom\mewtwitch\_components\ContentGrid.tsx","TypeScript","130","12","1"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_utils\calculationUtils.ts","TypeScript","130","21","25"
".\src\i18n\request.ts","TypeScript","129","25","30"
".\src\app\smartrotom\pc\components\layout\PCHeader.tsx","TypeScript","128","8","0"
".\src\app\(boffmedia)\(herramientas)\pokemon\tcgpocket\_components\BestPackDialog.tsx","TypeScript","128","8","0"
".\src\app\smartrotom\furrettoday\page.tsx","TypeScript","127","13","0"
".\src\app\smartrotom\mewtube\channel\_components\ChannelTabs.tsx","TypeScript","127","12","0"
".\src\app\smartrotom\pokedex\habilidades\[id]\page.tsx","TypeScript","127","10","0"
".\src\app\battlesim\_utils\PokemonSprite.ts","TypeScript","127","35","41"
".\src\app\smartrotom\chatapp\_components\ImageGalleryPicker.tsx","TypeScript","127","9","45"
".\src\app\smartrotom\furrettoday\_components\PopArtWallpaper.tsx","TypeScript","127","14","0"
".\src\app\smartrotom\arcade\test\tama\_hooks\useTamagotchi.ts","TypeScript","126","12","1"
".\src\stores\pokemonStore.ts","TypeScript","125","18","7"
".\src\components\smartrotom\calls\CollapsedView.tsx","TypeScript","125","12","0"
".\src\app\(boffmedia)\(herramientas)\otros\sorteos\page.tsx","TypeScript","125","15","4"
".\src\components\boffmedia\tools\ToolsPageLayout.tsx","TypeScript","124","12","0"
