Top files by lines of code
(code | language | file)
       159 | TypeScript | .\src\app\(boffmedia)\(herramientas)\pokemon\tcgpocket\cartas\page.tsx
       159 | TypeScript | .\src\app\battlesim\dex\_context\DexContext.tsx
       158 | TypeScript | .\src\app\smartrotom\admin\rendimiento\page.tsx
       154 | TypeScript | .\src\services\api\boffmedia\eventsService.ts
       153 | TypeScript | .\src\components\ui\navigation\FicusNav.tsx
       153 | TypeScript | .\src\lib\smartrotom\pokemonDisplayUtils.tsx
       153 | TypeScript | .\src\components\smartrotom\calls\ExpandedView.tsx
       153 | TypeScript | .\src\components\smartrotom\shared\BaseCard.tsx
       152 | TypeScript | .\src\app\smartrotom\taxi\components\MapView.tsx
       152 | TypeScript | .\src\app\wingull\pueblos\[pueblo]\_components\map\MapMarkers.tsx
       152 | TypeScript | .\src\components\ui\primitives\form.tsx
       152 | TypeScript | .\src\app\battlesim\_hooks\useGameState.tsx
       152 | TypeScript | .\src\app\smartrotom\furrettoday\editar\_components\NewsEditor.tsx
       152 | TypeScript | .\src\app\smartrotom\pc\hooks\usePCManagement.ts
       151 | TypeScript | .\src\app\smartrotom\pokedex\entrada\[[...params]]\_components\ClientBasicInfo.tsx
       151 | TypeScript | .\src\app\smartrotom\mewtwitch\user\_components\UserTabs.tsx
       150 | TypeScript | .\src\components\ui\primitives\dialog.tsx
       150 | TypeScript | .\src\app\smartrotom\arcade\loot\_components\opening\LootBoxOdds.tsx
       148 | TypeScript | .\src\app\smartrotom\mewtwitch\types.ts
       148 | TypeScript | .\src\app\smartrotom\mewtube\channel\[id]\page.tsx
       148 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\EquipmentItem.tsx
       147 | TypeScript | .\src\services\api\smartrotom\ficusAiService.ts
       147 | TypeScript | .\src\lib\dnd-kit-setup.ts
       145 | TypeScript | .\src\components\ui\primitives\combobox.tsx
       145 | TypeScript | .\src\app\battlesim\dex\_components\PokemonListTable.tsx
       145 | TypeScript | .\src\app\(boffmedia)\(herramientas)\otros\sorteos\_components\GiveawayControls.tsx
       144 | TypeScript | .\src\app\smartrotom\furrettoday\editar\[id]\page.tsx
       143 | TypeScript | .\src\lib\smartrotom\performanceUtils.tsx
       143 | TypeScript | .\src\app\smartrotom\furrettoday\editar\_components\NewsList.tsx
       142 | TypeScript | .\src\components\smartrotom\apps\AppGrid.tsx
       141 | TypeScript | .\src\app\battlesim\dex\_components\PokemonGrid.tsx
       141 | TypeScript | .\src\app\(boffmedia)\(politicas)\terminos\page.tsx
       140 | TypeScript | .\src\components\boffmedia\tools\FeaturedTool.tsx
       140 | TypeScript | .\src\app\battlesim\calc\_context\CalcContext.tsx
       139 | TypeScript | .\src\components\common\ckeditor\TestEditor.tsx
       139 | TypeScript | .\src\app\smartrotom\pc\components\details\PokemonTypeEffectiveness.tsx
       137 | TypeScript | .\src\app\smartrotom\starbank\_util\TransactionFilter.ts
       137 | TypeScript | .\src\app\smartrotom\pokedex\entrada\[[...params]]\_components\MovesTable.tsx
       137 | TypeScript | .\src\app\(boffmedia)\admin\events\_components\teams\TeamForm.tsx
       136 | TypeScript | .\src\components\boffmedia\sections\SectionHeader.tsx
